id|schedule|fmt|st|ext|ld|err|title
5965a268-10e8-4902-9250-80de58ab7a9b|live|JSON|success|1|0|DQ: raw-only ingest (no core rows)|Liegenschaften
6fcdd972-b19e-453b-b28c-272dab80febb|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|A-Wochen und B-Wochen für Fahrplan Fahrbibliothek
8354f558-9291-44a4-b487-35577e5ea2ec|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Bundestagswahl 2021: Ortsteilergebnisse
fff8cfc0-a4aa-4627-89ed-a46bb6a29c59|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Bundestagswahl 2021: Stadtergebnis
f5b27739-e3dd-49ca-95cd-9b0e9b907684|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Bundestagswahl 2021: Wahlbezirksergebnisse
52f541e1-dbbb-4d8d-97d2-586bf2bc796d|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Bundestagswahl 2021: Wahlkreisergebnis Leipzig I (152)
3d7102cc-c3fe-4a68-ad21-f9cd2d67e1d7|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Bundestagswahl 2021: Wahlkreisergebnis Leipzig II (153)
0e7e9fa6-5d6a-4301-b991-5dad6c6f027e|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Europawahl 2024: Ortsteilergebnisse
c1bac74a-cdd2-4116-8ba9-ff2c2c7aa6b0|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Europawahl 2024: Stadtbezirksergebnisse
4b9c85a0-63a1-406f-923e-1df14295f3ed|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Europawahl 2024: Stadtergebnis
bf7b851d-592c-425c-9f11-704966305147|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Europawahl 2024: Wahlbezirksergebnisse
38ee8385-296a-462b-8a07-d11eb0ea27e6|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Fahrplan der Fahrbibliothek
95b2a361-d6fc-44d7-a122-6472bab01dfa|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Fahrplan der Fahrbibliothek für Schulen
ea8436ec-0471-48a9-826d-ebdb7e45c757|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Frühjahrsputztermine
981dad4d-6aa5-41e1-ac5b-003d6399383a|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Gartennutzung - Kommunale Bürgerumfrage
bd9f8ea8-4d5d-4fd5-9bb0-a97532388d5d|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Kindergarten- und Kinderkrippenkinder in Kindertageseinricht
dd7ccaeb-c50a-4250-8895-6c64677ad787|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Kommunale Bügerumfrage 2024 - Personengewichtung
62cdd44d-a98b-4666-8e87-e5cd7d8c1a44|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Kontaktdaten und Öffnungszeiten der Bibliotheken
b11bc8e2-034b-40ea-b1d6-eb3c1ec441ff|nightly|SHP|failed|0|0|[Errno 104] Connection reset by peer|Landschaftsschutzgebiete der Stadt Leipzig
3700e4dc-bb3e-483c-b285-f25b1aea806e|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Landtagswahl 2024: Ortsteilergebnisse
4db3895e-92a9-4bb7-bb33-f792178d331f|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Landtagswahl 2024: Wahlbezirksergebnisse
b73f72dc-ac75-4595-b12b-b95f32824d2a|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Landtagswahl 2024: Wahlkreisergebnisse
ddba0783-03f0-4537-865f-defda60ac6a8|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Leipziger Spezialmärkte - Öffnungszeiten und Termine
2168319b-68e2-4789-9b67-0058ac4a51ce|nightly|CSV|failed|0|0|[Errno 104] Connection reset by peer|Leipziger Wochenmärkte - Öffnungszeiten und Termine
